county,make,model_year,vehicle_count
Kitsap,BMW,2016,87
Kitsap,BMW,2017,170
Kitsap,BMW,2018,86
Kitsap,BMW,2019,20
Kitsap,BMW,2020,2
Kitsap,BMW,2021,22
Kitsap,CADILLAC,2014,10
Kitsap,CADILLAC,2016,5
Kitsap,CHEVROLET,2011,33
Kitsap,CHEVROLET,2012,262
Kitsap,CHEVROLET,2013,389
Kitsap,CHEVROLET,2014,284
Kitsap,CHEVROLET,2015,146
Kitsap,CHEVROLET,2016,50
Kitsap,CHEVROLET,2017,736
Kitsap,CHEVROLET,2018,243
Kitsap,CHEVROLET,2019,123
Kitsap,CHEVROLET,2020,132
Kitsap,CHEVROLET,2021,16
Kitsap,CHRYSLER,2017,58
Kitsap,CHRYSLER,2018,119
Kitsap,CHRYSLER,2019,40
Kitsap,CHRYSLER,2020,35
Kitsap,CHRYSLER,2021,18
Kitsap,FIAT,2013,38
Kitsap,FIAT,2014,26
Kitsap,FIAT,2015,53
Kitsap,FIAT,2016,30
Kitsap,FIAT,2017,17
Kitsap,FORD,2000,11
Kitsap,FORD,2012,20
Kitsap,FORD,2013,386
Kitsap,FORD,2014,252
Kitsap,FORD,2015,99
Kitsap,FORD,2016,204
Kitsap,FORD,2017,142
Kitsap,FORD,2018,29
Kitsap,FORD,2019,17
Kitsap,FORD,2020,5
Kitsap,FORD,2021,39
Kitsap,HONDA,2018,90
Kitsap,HONDA,2020,7
Kitsap,HYUNDAI,2016,129
Kitsap,HYUNDAI,2017,4
Kitsap,HYUNDAI,2019,9
Kitsap,HYUNDAI,2020,24
Kitsap,HYUNDAI,2021,2
Kitsap,JAGUAR,2019,13
Kitsap,JAGUAR,2020,7
Kitsap,JEEP,2021,6
Kitsap,KIA,2016,241
Kitsap,KIA,2017,526
Kitsap,KIA,2018,41
Kitsap,KIA,2019,206
Kitsap,KIA,2020,26
Kitsap,LINCOLN,2020,3
Kitsap,MERCEDES-BENZ,2014,8
Kitsap,MERCEDES-BENZ,2015,10
Kitsap,MERCEDES-BENZ,2016,12
Kitsap,MERCEDES-BENZ,2017,12
Kitsap,MERCEDES-BENZ,2018,17
Kitsap,MERCEDES-BENZ,2019,7
Kitsap,MERCEDES-BENZ,2020,2
Kitsap,MINI,2018,19
Kitsap,MINI,2019,15
Kitsap,MINI,2021,20
Kitsap,MITSUBISHI,2012,13
Kitsap,MITSUBISHI,2014,6
Kitsap,MITSUBISHI,2018,22
Kitsap,MITSUBISHI,2019,5
Kitsap,MITSUBISHI,2020,4
Kitsap,NISSAN,2011,522
Kitsap,NISSAN,2012,487
Kitsap,NISSAN,2013,1258
Kitsap,NISSAN,2014,332
Kitsap,NISSAN,2015,1076
Kitsap,NISSAN,2016,495
Kitsap,NISSAN,2017,260
Kitsap,NISSAN,2018,270
Kitsap,NISSAN,2019,215
Kitsap,NISSAN,2020,58
Kitsap,NISSAN,2021,26
Kitsap,PORSCHE,2015,10
Kitsap,PORSCHE,2016,20
Kitsap,PORSCHE,2017,3
Kitsap,PORSCHE,2018,6
Kitsap,PORSCHE,2019,8
Kitsap,PORSCHE,2020,8
Kitsap,PORSCHE,2021,10
Kitsap,SMART,2014,56
Kitsap,SMART,2015,22
Kitsap,SMART,2016,24
Kitsap,SMART,2017,2
Kitsap,SMART,2018,12
Kitsap,SUBARU,2019,4
Kitsap,TESLA,2008,24
Kitsap,TESLA,2010,19
Kitsap,TESLA,2012,25
Kitsap,TESLA,2013,264
Kitsap,TESLA,2014,200
Kitsap,TESLA,2015,208
Kitsap,TESLA,2016,279
Kitsap,TESLA,2017,220
Kitsap,TESLA,2018,971
Kitsap,TESLA,2019,383
Kitsap,TESLA,2020,502
Kitsap,TESLA,2021,268
Kitsap,TOYOTA,2012,141
Kitsap,TOYOTA,2013,82
Kitsap,TOYOTA,2014,49
Kitsap,TOYOTA,2015,15
Kitsap,TOYOTA,2017,171
Kitsap,TOYOTA,2018,148
Kitsap,TOYOTA,2019,10
Kitsap,TOYOTA,2020,17
Kitsap,TOYOTA,2021,34
Kitsap,VOLKSWAGEN,2015,19
Kitsap,VOLKSWAGEN,2016,32
Kitsap,VOLKSWAGEN,2017,4
Kitsap,VOLKSWAGEN,2018,3
Kitsap,VOLKSWAGEN,2019,43
Kitsap,VOLKSWAGEN,2021,4
Kitsap,VOLVO,2016,34
Kitsap,VOLVO,2017,13
Kitsap,VOLVO,2018,63
Kitsap,VOLVO,2019,30
Kitsap,VOLVO,2021,8
Pierce,AUDI,2016,74
Pierce,AUDI,2017,50
Pierce,AUDI,2018,36
Pierce,AUDI,2019,87
Pierce,AUDI,2020,48
Pierce,AUDI,2021,68
Pierce,BMW,2014,320
Pierce,BMW,2015,216
Pierce,BMW,2016,343
Pierce,BMW,2017,305
Pierce,BMW,2018,237
Pierce,BMW,2019,43
Pierce,BMW,2020,21
Pierce,BMW,2021,37
Pierce,CADILLAC,2014,67
Pierce,CADILLAC,2016,13
Pierce,CADILLAC,2018,18
Pierce,CHEVROLET,2011,75
Pierce,CHEVROLET,2012,853
Pierce,CHEVROLET,2013,1220
Pierce,CHEVROLET,2014,703
Pierce,CHEVROLET,2015,405
Pierce,CHEVROLET,2016,154
Pierce,CHEVROLET,2017,1292
Pierce,CHEVROLET,2018,420
Pierce,CHEVROLET,2019,266
Pierce,CHEVROLET,2020,188
Pierce,CHEVROLET,2021,40
Pierce,CHRYSLER,2017,33
Pierce,CHRYSLER,2018,293
Pierce,CHRYSLER,2019,27
Pierce,CHRYSLER,2020,67
Pierce,CHRYSLER,2021,48
Pierce,FIAT,2013,64
Pierce,FIAT,2014,50
Pierce,FIAT,2015,112
Pierce,FIAT,2016,32
Pierce,FIAT,2017,48
Pierce,FISKER,2012,20
Pierce,FORD,1999,3
Pierce,FORD,2013,823
Pierce,FORD,2014,832
Pierce,FORD,2015,714
Pierce,FORD,2016,683
Pierce,FORD,2017,411
Pierce,FORD,2018,54
Pierce,FORD,2019,55
Pierce,FORD,2020,17
Pierce,FORD,2021,68
Pierce,HONDA,2014,2
Pierce,HONDA,2018,263
Pierce,HONDA,2019,8
Pierce,HONDA,2020,22
Pierce,HYUNDAI,2016,576
Pierce,HYUNDAI,2017,13
Pierce,HYUNDAI,2019,17
Pierce,HYUNDAI,2020,52
Pierce,HYUNDAI,2021,10
Pierce,JAGUAR,2019,25
Pierce,JAGUAR,2020,15
Pierce,JEEP,2021,16
Pierce,KIA,2015,16
Pierce,KIA,2016,325
Pierce,KIA,2017,1456
Pierce,KIA,2018,99
Pierce,KIA,2019,419
Pierce,KIA,2020,79
Pierce,KIA,2021,2
Pierce,LAND ROVER,2020,8
Pierce,LAND ROVER,2021,2
Pierce,LINCOLN,2020,7
Pierce,MERCEDES-BENZ,2014,9
Pierce,MERCEDES-BENZ,2015,13
Pierce,MERCEDES-BENZ,2016,3
Pierce,MERCEDES-BENZ,2017,2
Pierce,MERCEDES-BENZ,2018,8
Pierce,MERCEDES-BENZ,2019,15
