county,make,quartile,model_year,vehicle_count
Clark,BMW,3,2017,33
Clark,BMW,3,2018,45
Clark,BMW,3,2019,20
Clark,BMW,3,2020,8
Clark,BMW,3,2021,2
Clark,BMW,4,2014,42
Clark,BMW,4,2015,45
Clark,BMW,4,2016,32
Clark,BMW,4,2017,55
Clark,BMW,4,2018,66
Clark,BMW,4,2019,13
Clark,BMW,4,2020,9
Clark,BMW,4,2021,4
Clark,CADILLAC,1,2014,14
Clark,CADILLAC,1,2016,7
Clark,CADILLAC,2,2014,1
Clark,CADILLAC,3,2014,6
Clark,CADILLAC,4,2014,4
Clark,CHEVROLET,1,2012,91
Clark,CHEVROLET,1,2013,143
Clark,CHEVROLET,1,2014,115
Clark,CHEVROLET,1,2015,37
Clark,CHEVROLET,1,2016,40
Clark,CHEVROLET,1,2017,244
Clark,CHEVROLET,1,2018,59
Clark,CHEVROLET,1,2019,32
Clark,CHEVROLET,1,2020,84
Clark,CHEVROLET,1,2021,2
Clark,CHEVROLET,2,2011,8
Clark,CHEVROLET,2,2012,147
Clark,CHEVROLET,2,2013,106
Clark,CHEVROLET,2,2014,114
Clark,CHEVROLET,2,2015,60
Clark,CHEVROLET,2,2016,42
Clark,CHEVROLET,2,2017,183
Clark,CHEVROLET,2,2018,81
Clark,CHEVROLET,2,2019,31
Clark,CHEVROLET,2,2020,28
Clark,CHEVROLET,2,2021,28
Clark,CHEVROLET,3,2011,3
Clark,CHEVROLET,3,2012,123
Clark,CHEVROLET,3,2013,123
Clark,CHEVROLET,3,2014,106
Clark,CHEVROLET,3,2015,62
Clark,CHEVROLET,3,2016,34
Clark,CHEVROLET,3,2017,224
Clark,CHEVROLET,3,2018,25
Clark,CHEVROLET,3,2019,42
Clark,CHEVROLET,3,2020,20
Clark,CHEVROLET,4,2011,4
Clark,CHEVROLET,4,2012,125
Clark,CHEVROLET,4,2013,174
Clark,CHEVROLET,4,2014,127
Clark,CHEVROLET,4,2015,78
Clark,CHEVROLET,4,2016,42
Clark,CHEVROLET,4,2017,239
Clark,CHEVROLET,4,2018,46
Clark,CHEVROLET,4,2019,44
Clark,CHEVROLET,4,2020,38
Clark,CHRYSLER,1,2018,34
Clark,CHRYSLER,1,2019,9
Clark,CHRYSLER,1,2020,13
Clark,CHRYSLER,1,2021,20
Clark,CHRYSLER,2,2017,2
Clark,CHRYSLER,2,2018,45
Clark,CHRYSLER,2,2019,4
Clark,CHRYSLER,2,2021,12
Clark,CHRYSLER,3,2017,6
Clark,CHRYSLER,3,2018,30
Clark,CHRYSLER,3,2019,6
Clark,CHRYSLER,3,2020,2
Clark,CHRYSLER,4,2017,8
Clark,CHRYSLER,4,2018,19
Clark,CHRYSLER,4,2019,4
Clark,CHRYSLER,4,2020,29
Clark,FIAT,1,2013,10
Clark,FIAT,1,2014,7
Clark,FIAT,1,2015,26
Clark,FIAT,1,2016,10
Clark,FIAT,1,2017,7
Clark,FIAT,2,2013,1
Clark,FIAT,2,2014,10
Clark,FIAT,2,2015,19
Clark,FIAT,2,2016,17
Clark,FIAT,2,2017,9
Clark,FIAT,3,2013,6
Clark,FIAT,3,2014,24
Clark,FIAT,3,2015,28
Clark,FIAT,3,2016,12
Clark,FIAT,3,2017,14
Clark,FIAT,4,2013,14
Clark,FIAT,4,2014,5
Clark,FIAT,4,2015,22
Clark,FIAT,4,2016,5
Clark,FIAT,4,2017,4
Clark,FISKER,1,2012,2
Clark,FISKER,2,2012,7
Clark,FISKER,3,2012,7
Clark,FISKER,4,2012,2
Clark,FORD,1,2012,4
Clark,FORD,1,2013,105
Clark,FORD,1,2014,51
Clark,FORD,1,2015,103
Clark,FORD,1,2016,76
Clark,FORD,1,2017,87
Clark,FORD,1,2018,6
Clark,FORD,1,2019,4
Clark,FORD,1,2020,2
Clark,FORD,1,2021,26
Clark,FORD,2,2013,101
Clark,FORD,2,2014,137
Clark,FORD,2,2015,76
Clark,FORD,2,2016,71
Clark,FORD,2,2017,84
Clark,FORD,2,2018,11
Clark,FORD,2,2019,15
Clark,FORD,2,2020,4
Clark,FORD,2,2021,36
Clark,FORD,3,2013,117
Clark,FORD,3,2014,118
Clark,FORD,3,2015,58
Clark,FORD,3,2016,93
Clark,FORD,3,2017,81
Clark,FORD,3,2018,9
Clark,FORD,3,2019,11
Clark,FORD,3,2020,2
Clark,FORD,4,2013,135
Clark,FORD,4,2014,118
Clark,FORD,4,2015,61
Clark,FORD,4,2016,86
Clark,FORD,4,2017,69
Clark,FORD,4,2018,6
Clark,FORD,4,2019,13
Clark,FORD,4,2020,5
Clark,HONDA,1,2018,68
Clark,HONDA,1,2019,3
Clark,HONDA,1,2021,4
Clark,HONDA,2,2018,62
Clark,HONDA,2,2020,9
Clark,HONDA,2,2021,2
Clark,HONDA,3,2014,2
Clark,HONDA,3,2018,29
Clark,HONDA,3,2020,4
Clark,HONDA,4,2018,37
Clark,HONDA,4,2020,4
Clark,HONDA,4,2021,4
Clark,HYUNDAI,1,2016,78
Clark,HYUNDAI,1,2018,6
Clark,HYUNDAI,1,2019,4
Clark,HYUNDAI,1,2020,23
Clark,HYUNDAI,1,2021,6
Clark,HYUNDAI,2,2016,59
Clark,HYUNDAI,2,2019,2
Clark,HYUNDAI,2,2020,11
Clark,HYUNDAI,2,2021,18
Clark,HYUNDAI,3,2016,58
Clark,HYUNDAI,3,2017,2
Clark,HYUNDAI,3,2019,15
Clark,HYUNDAI,3,2020,8
Clark,HYUNDAI,4,2016,68
Clark,HYUNDAI,4,2017,2
Clark,HYUNDAI,4,2019,22
Clark,HYUNDAI,4,2020,5
Clark,JAGUAR,1,2019,8
Clark,JAGUAR,2,2019,3
Clark,JAGUAR,3,2019,5
Clark,JAGUAR,4,2019,11
Clark,JEEP,2,2021,14
Clark,KIA,1,2016,16
Clark,KIA,1,2017,123
Clark,KIA,1,2018,29
Clark,KIA,1,2019,33
Clark,KIA,1,2020,18
Clark,KIA,2,2015,3
Clark,KIA,2,2016,17
Clark,KIA,2,2017,169
Clark,KIA,2,2018,20
Clark,KIA,2,2019,52
Clark,KIA,2,2020,11
Clark,KIA,3,2016,45
Clark,KIA,3,2017,147
Clark,KIA,3,2018,22
Clark,KIA,3,2019,38
Clark,KIA,3,2020,10
Clark,KIA,4,2015,2
Clark,KIA,4,2016,16
Clark,KIA,4,2017,155
Clark,KIA,4,2018,14
Clark,KIA,4,2019,32
Clark,KIA,4,2020,8
Clark,LAND ROVER,2,2020,3
Clark,LINCOLN,2,2020,4
Clark,LINCOLN,3,2020,6
